bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-05-01,TOR,CLE,TOR,158,+158,0.4894,0.3876,0.1018,10.2%,0.1662,MEDIUM,True
MONEYLINE,2026-05-01,HOU,LAL,LAL,136,+136,0.4491,0.4237,0.0254,2.5%,0.044,NO PLAY,False
MONEYLINE,2026-05-01,ORL,DET,ORL,145,+145,0.2623,0.4082,-0.1459,-14.6%,0.0,NO PLAY,False
SPREAD,2026-05-01,TOR,CLE,TOR,-110,+4.5,0.4653,0.5,-0.0347,-3.5%,0.1852,NO PLAY,False
SPREAD,2026-05-01,HOU,LAL,LAL,-110,+3.5,0.4306,0.5,-0.0694,-6.9%,0.1323,NO PLAY,False
SPREAD,2026-05-01,ORL,DET,ORL,-110,+4.0,0.241,0.5,-0.259,-25.9%,0.0,NO PLAY,False
TOTAL,2026-05-01,TOR,CLE,OVER,-110,218.5,0.7011,0.5,0.2011,20.1%,0.5445,HIGH,True
TOTAL,2026-05-01,HOU,LAL,UNDER,-110,205.5,0.651,0.5,0.151,15.1%,0.4681,HIGH,True
TOTAL,2026-05-01,ORL,DET,UNDER,-110,210.0,0.5702,0.5,0.0702,7.0%,0.3451,LOW,False
