bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-21,SAS,POR,POR,500,+500,0.1195,0.1667,-0.0471,-4.7%,0.0,NO PLAY,False
MONEYLINE,2026-04-21,LAL,HOU,LAL,170,+170,0.2772,0.3704,-0.0931,-9.3%,0.0,NO PLAY,False
SPREAD,2026-04-21,LAL,HOU,LAL,-110,+5.0,0.2769,0.5,-0.2231,-22.3%,0.0,NO PLAY,False
SPREAD,2026-04-21,BOS,PHI,PHI,-110,+14.5,0.1281,0.5,-0.3719,-37.2%,0.0,NO PLAY,False
SPREAD,2026-04-21,SAS,POR,POR,-110,+11.5,0.111,0.5,-0.389,-38.9%,0.0,NO PLAY,False
TOTAL,2026-04-21,LAL,HOU,OVER,-110,208.0,0.6522,0.5,0.1522,15.2%,0.47,HIGH,True
TOTAL,2026-04-21,SAS,POR,OVER,-110,220.5,0.5992,0.5,0.0992,9.9%,0.3893,MEDIUM,True
TOTAL,2026-04-21,BOS,PHI,OVER,-110,217.0,0.5956,0.5,0.0956,9.6%,0.3838,MEDIUM,False
