bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-23,TOR,CLE,TOR,130,+130,0.5515,0.4348,0.1167,11.7%,0.2064,MEDIUM,True
SPREAD,2026-04-23,TOR,CLE,TOR,-110,+3.0,0.5993,0.5,0.0993,9.9%,0.3894,MEDIUM,True
SPREAD,2026-04-23,MIN,DEN,MIN,-110,+2.0,0.4899,0.5,-0.0101,-1.0%,0.2227,NO PLAY,False
SPREAD,2026-04-23,ATL,NYK,ATL,-110,+1.5,0.4467,0.5,-0.0533,-5.3%,0.1568,NO PLAY,False
TOTAL,2026-04-23,TOR,CLE,OVER,-110,221.5,0.7538,0.5,0.2538,25.4%,0.6249,HIGH,True
TOTAL,2026-04-23,MIN,DEN,OVER,-110,233.5,0.7451,0.5,0.2451,24.5%,0.6115,HIGH,True
TOTAL,2026-04-23,ATL,NYK,OVER,-110,215.0,0.6447,0.5,0.1447,14.5%,0.4586,HIGH,False
