bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-05-07,DET,CLE,CLE,136,+136,0.2018,0.4237,-0.222,-22.2%,0.0,NO PLAY,False
SPREAD,2026-05-07,OKC,LAL,LAL,-110,+15.0,0.1586,0.5,-0.3414,-34.1%,0.0,NO PLAY,False
SPREAD,2026-05-07,DET,CLE,CLE,-110,+3.5,0.1481,0.5,-0.3519,-35.2%,0.0,NO PLAY,False
TOTAL,2026-05-07,OKC,LAL,UNDER,-110,211.0,0.6849,0.5,0.1849,18.5%,0.5198,HIGH,True
TOTAL,2026-05-07,DET,CLE,UNDER,-110,215.5,0.6808,0.5,0.1808,18.1%,0.5136,HIGH,True
