bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-05-04,SAS,MIN,MIN,400,+400,0.4086,0.2,0.2086,20.9%,0.2607,HIGH,True
MONEYLINE,2026-05-04,NYK,PHI,PHI,225,+225,0.2559,0.3077,-0.0518,-5.2%,0.0,NO PLAY,False
SPREAD,2026-05-04,SAS,MIN,MIN,-110,+12.0,0.4147,0.5,-0.0853,-8.5%,0.1081,NO PLAY,False
SPREAD,2026-05-04,NYK,PHI,PHI,-110,+7.5,0.238,0.5,-0.262,-26.2%,0.0,NO PLAY,False
TOTAL,2026-05-04,SAS,MIN,OVER,-110,218.0,0.8085,0.5,0.3085,30.9%,0.7082,HIGH,True
TOTAL,2026-05-04,NYK,PHI,UNDER,-110,213.5,0.5639,0.5,0.0639,6.4%,0.3355,LOW,True
