bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-03-30,MEM,PHX,MEM,500,+500,0.5786,0.1667,0.4119,41.2%,0.4943,HIGH,True
MONEYLINE,2026-03-30,OKC,DET,DET,500,+500,0.4397,0.1667,0.273,27.3%,0.3276,HIGH,True
MONEYLINE,2026-03-30,DAL,MIN,DAL,220,+220,0.4019,0.3125,0.0894,8.9%,0.13,MEDIUM,True
SPREAD,2026-03-30,UTA,CLE,UTA,-110,+17.0,0.6282,0.5,0.1282,12.8%,0.4335,HIGH,True
SPREAD,2026-03-30,MIA,PHI,MIA,-110,+2.0,0.6269,0.5,0.1269,12.7%,0.4314,HIGH,True
SPREAD,2026-03-30,MEM,PHX,MEM,-110,+12.5,0.5752,0.5,0.0752,7.5%,0.3526,HIGH,True
SPREAD,2026-03-30,DAL,MIN,DAL,-110,+7.0,0.4813,0.5,-0.0187,-1.9%,0.2096,NO PLAY,False
SPREAD,2026-03-30,OKC,DET,DET,-110,+12.0,0.4608,0.5,-0.0392,-3.9%,0.1784,NO PLAY,False
SPREAD,2026-03-30,ATL,BOS,BOS,-110,+1.5,0.3308,0.5,-0.1692,-16.9%,0.0,NO PLAY,False
SPREAD,2026-03-30,SAS,CHI,CHI,-110,+18.5,0.2094,0.5,-0.2906,-29.1%,0.0,NO PLAY,False
SPREAD,2026-03-30,LAL,WAS,WAS,-110,+16.0,0.0931,0.5,-0.4069,-40.7%,0.0,NO PLAY,False
TOTAL,2026-03-30,UTA,CLE,OVER,-110,242.5,0.8724,0.5,0.3724,37.2%,0.8056,HIGH,True
TOTAL,2026-03-30,SAS,CHI,OVER,-110,244.0,0.819,0.5,0.319,31.9%,0.7241,HIGH,True
TOTAL,2026-03-30,MIA,PHI,OVER,-110,246.5,0.7604,0.5,0.2604,26.0%,0.6349,HIGH,True
TOTAL,2026-03-30,OKC,DET,OVER,-110,218.0,0.7456,0.5,0.2456,24.6%,0.6124,HIGH,True
TOTAL,2026-03-30,MEM,PHX,OVER,-110,229.5,0.5607,0.5,0.0607,6.1%,0.3305,HIGH,True
TOTAL,2026-03-30,DAL,MIN,OVER,-110,236.0,0.5429,0.5,0.0429,4.3%,0.3034,MEDIUM,True
TOTAL,2026-03-30,ATL,BOS,OVER,-110,222.5,0.5368,0.5,0.0368,3.7%,0.2941,LOW,True
TOTAL,2026-03-30,LAL,WAS,OVER,-110,236.0,0.5237,0.5,0.0237,2.4%,0.2741,LOW,True
