bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-03-25,IND,LAL,IND,415,+415,0.826,0.1942,0.6318,63.2%,0.7841,HIGH,True
MONEYLINE,2026-03-25,GSW,BKN,BKN,446,+446,0.3774,0.1832,0.1943,19.4%,0.2379,HIGH,True
MONEYLINE,2026-03-25,POR,MIL,MIL,490,+490,0.3531,0.1695,0.1836,18.4%,0.221,HIGH,True
MONEYLINE,2026-03-25,LAC,TOR,TOR,150,+150,0.4854,0.4,0.0854,8.5%,0.1423,MEDIUM,True
MONEYLINE,2026-03-25,UTA,WAS,WAS,153,+153,0.3741,0.3953,-0.0212,-2.1%,0.0,NO PLAY,False
MONEYLINE,2026-03-25,PHI,CHI,CHI,200,+200,0.2869,0.3333,-0.0464,-4.6%,0.0,NO PLAY,False
SPREAD,2026-03-25,IND,LAL,IND,-110,+10.5,0.8137,0.5,0.3137,31.4%,0.7161,HIGH,True
SPREAD,2026-03-25,MEM,SAS,MEM,-110,+16.5,0.7137,0.5,0.2137,21.4%,0.5637,HIGH,True
SPREAD,2026-03-25,BOS,OKC,BOS,-110,+2.5,0.6347,0.5,0.1347,13.5%,0.4433,HIGH,True
SPREAD,2026-03-25,LAC,TOR,TOR,-110,+4.0,0.4966,0.5,-0.0034,-0.3%,0.2329,NO PLAY,False
SPREAD,2026-03-25,CLE,MIA,MIA,-110,+2.5,0.4806,0.5,-0.0194,-1.9%,0.2085,NO PLAY,False
SPREAD,2026-03-25,DET,ATL,ATL,-110,+2.5,0.4503,0.5,-0.0497,-5.0%,0.1624,NO PLAY,False
SPREAD,2026-03-25,POR,MIL,MIL,-110,+12.5,0.4462,0.5,-0.0538,-5.4%,0.1561,NO PLAY,False
SPREAD,2026-03-25,GSW,BKN,BKN,-110,+12.0,0.4041,0.5,-0.0959,-9.6%,0.092,NO PLAY,False
SPREAD,2026-03-25,MIN,HOU,MIN,-110,+1.5,0.4022,0.5,-0.0978,-9.8%,0.0891,NO PLAY,False
SPREAD,2026-03-25,UTA,WAS,WAS,-110,+4.5,0.3579,0.5,-0.1421,-14.2%,0.0215,NO PLAY,False
SPREAD,2026-03-25,DEN,DAL,DAL,-110,+12.5,0.2731,0.5,-0.2269,-22.7%,0.0,NO PLAY,False
SPREAD,2026-03-25,PHI,CHI,CHI,-110,+6.5,0.2675,0.5,-0.2325,-23.3%,0.0,NO PLAY,False
TOTAL,2026-03-25,DET,ATL,OVER,-110,228.5,0.8361,0.5,0.3361,33.6%,0.7502,HIGH,True
TOTAL,2026-03-25,MEM,SAS,OVER,-110,232.5,0.7938,0.5,0.2938,29.4%,0.6858,HIGH,True
TOTAL,2026-03-25,LAC,TOR,OVER,-110,226.5,0.7232,0.5,0.2232,22.3%,0.5783,HIGH,True
TOTAL,2026-03-25,CLE,MIA,OVER,-110,243.0,0.6263,0.5,0.1263,12.6%,0.4305,HIGH,True
TOTAL,2026-03-25,BOS,OKC,UNDER,-110,218.0,0.6247,0.5,0.1247,12.5%,0.4281,HIGH,True
TOTAL,2026-03-25,POR,MIL,UNDER,-110,226.5,0.5873,0.5,0.0873,8.7%,0.3712,HIGH,True
TOTAL,2026-03-25,PHI,CHI,OVER,-110,240.5,0.5764,0.5,0.0764,7.6%,0.3545,HIGH,True
TOTAL,2026-03-25,UTA,WAS,OVER,-110,239.0,0.5474,0.5,0.0474,4.7%,0.3103,MEDIUM,True
TOTAL,2026-03-25,GSW,BKN,UNDER,-110,217.0,0.5441,0.5,0.0441,4.4%,0.3053,MEDIUM,True
TOTAL,2026-03-25,DEN,DAL,UNDER,-110,245.0,0.5225,0.5,0.0225,2.2%,0.2723,LOW,True
TOTAL,2026-03-25,IND,LAL,OVER,-110,238.0,0.5181,0.5,0.0181,1.8%,0.2657,NO PLAY,False
TOTAL,2026-03-25,MIN,HOU,UNDER,-110,224.0,0.5161,0.5,0.0161,1.6%,0.2627,NO PLAY,False
