bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-03-26,DET,NOP,NOP,150,+150,0.4228,0.4,0.0228,2.3%,0.038,NO PLAY,False
SPREAD,2026-03-26,CHA,NYK,NYK,-110,+1.0,0.4601,0.5,-0.0399,-4.0%,0.1773,NO PLAY,False
SPREAD,2026-03-26,DET,NOP,NOP,-110,+4.0,0.4276,0.5,-0.0724,-7.2%,0.1277,NO PLAY,False
SPREAD,2026-03-26,ORL,SAC,SAC,-110,+15.5,0.3176,0.5,-0.1824,-18.2%,0.0,NO PLAY,False
TOTAL,2026-03-26,CHA,NYK,OVER,-110,222.5,0.8053,0.5,0.3053,30.5%,0.7034,HIGH,True
TOTAL,2026-03-26,DET,NOP,OVER,-110,226.5,0.7178,0.5,0.2178,21.8%,0.5699,HIGH,True
TOTAL,2026-03-26,ORL,SAC,OVER,-110,230.5,0.5596,0.5,0.0596,6.0%,0.3289,MEDIUM,True
