bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-03,DAL,ORL,DAL,218,+218,0.511,0.3145,0.1966,19.7%,0.2868,HIGH,True
MONEYLINE,2026-04-03,SAC,NOP,SAC,180,+180,0.3992,0.3571,0.042,4.2%,0.0653,NO PLAY,False
SPREAD,2026-04-03,MIL,BOS,MIL,-110,+17.5,0.6268,0.5,0.1268,12.7%,0.4312,HIGH,True
SPREAD,2026-04-03,BKN,ATL,BKN,-110,+16.5,0.6075,0.5,0.1075,10.8%,0.4019,HIGH,True
SPREAD,2026-04-03,MEM,TOR,MEM,-110,+13.5,0.5791,0.5,0.0791,7.9%,0.3586,LOW,False
SPREAD,2026-04-03,DAL,ORL,DAL,-110,+6.5,0.4884,0.5,-0.0116,-1.2%,0.2205,NO PLAY,False
SPREAD,2026-04-03,CHA,IND,IND,-110,+16.0,0.4512,0.5,-0.0488,-4.9%,0.1637,NO PLAY,False
SPREAD,2026-04-03,SAC,NOP,SAC,-110,+6.0,0.3626,0.5,-0.1374,-13.7%,0.0287,NO PLAY,False
SPREAD,2026-04-03,PHI,MIN,MIN,-110,+2.5,0.3117,0.5,-0.1883,-18.8%,0.0,NO PLAY,False
SPREAD,2026-04-03,HOU,UTA,UTA,-110,+17.0,0.2793,0.5,-0.2207,-22.1%,0.0,NO PLAY,False
SPREAD,2026-04-03,NYK,CHI,CHI,-110,+15.5,0.2163,0.5,-0.2837,-28.4%,0.0,NO PLAY,False
TOTAL,2026-04-03,CHA,IND,OVER,-110,234.5,0.6273,0.5,0.1273,12.7%,0.432,HIGH,True
TOTAL,2026-04-03,SAC,NOP,UNDER,-110,234.5,0.6098,0.5,0.1098,11.0%,0.4055,HIGH,True
TOTAL,2026-04-03,MEM,TOR,OVER,-110,233.5,0.6016,0.5,0.1016,10.2%,0.3929,HIGH,False
TOTAL,2026-04-03,HOU,UTA,OVER,-110,233.5,0.5991,0.5,0.0991,9.9%,0.3892,MEDIUM,False
TOTAL,2026-04-03,NYK,CHI,OVER,-110,237.5,0.559,0.5,0.059,5.9%,0.3279,NO PLAY,False
TOTAL,2026-04-03,MIL,BOS,OVER,-110,217.0,0.5484,0.5,0.0484,4.8%,0.3118,NO PLAY,False
TOTAL,2026-04-03,BKN,ATL,OVER,-110,225.5,0.5417,0.5,0.0417,4.2%,0.3017,NO PLAY,False
TOTAL,2026-04-03,PHI,MIN,UNDER,-110,233.5,0.5362,0.5,0.0362,3.6%,0.2933,NO PLAY,False
TOTAL,2026-04-03,DAL,ORL,OVER,-110,238.5,0.5041,0.5,0.0041,0.4%,0.2444,NO PLAY,False
