bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-05-09,LAL,OKC,LAL,280,+280,0.5595,0.2632,0.2963,29.6%,0.4021,HIGH,True
MONEYLINE,2026-05-09,CLE,DET,DET,155,+155,0.531,0.3922,0.1388,13.9%,0.2284,HIGH,True
SPREAD,2026-05-09,LAL,OKC,LAL,-110,+8.5,0.5639,0.5,0.0639,6.4%,0.3355,LOW,True
SPREAD,2026-05-09,CLE,DET,DET,-110,+4.5,0.4986,0.5,-0.0014,-0.1%,0.2359,NO PLAY,False
TOTAL,2026-05-09,LAL,OKC,UNDER,-110,211.5,0.7782,0.5,0.2782,27.8%,0.662,HIGH,True
TOTAL,2026-05-09,CLE,DET,UNDER,-110,212.5,0.6995,0.5,0.1995,20.0%,0.5421,HIGH,True
