bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-03-28,CHA,PHI,PHI,190,+190,0.4691,0.3448,0.1243,12.4%,0.1897,HIGH,True
MONEYLINE,2026-03-28,MEM,CHI,MEM,148,+148,0.4963,0.4032,0.0931,9.3%,0.156,MEDIUM,True
SPREAD,2026-03-28,MIL,SAS,MIL,-110,+18.0,0.5829,0.5,0.0829,8.3%,0.3644,HIGH,True
SPREAD,2026-03-28,MEM,CHI,MEM,-110,+4.0,0.5093,0.5,0.0093,0.9%,0.2522,NO PLAY,False
SPREAD,2026-03-28,MIN,DET,DET,-110,+1.5,0.4796,0.5,-0.0204,-2.0%,0.2071,NO PLAY,False
SPREAD,2026-03-28,CHA,PHI,PHI,-110,+6.0,0.4388,0.5,-0.0612,-6.1%,0.1448,NO PLAY,False
SPREAD,2026-03-28,ATL,SAC,SAC,-110,+15.0,0.3309,0.5,-0.1691,-16.9%,0.0,NO PLAY,False
SPREAD,2026-03-28,PHX,UTA,UTA,-110,+16.5,0.2696,0.5,-0.2304,-23.0%,0.0,NO PLAY,False
TOTAL,2026-03-28,MIN,DET,OVER,-110,222.5,0.8214,0.5,0.3214,32.1%,0.7278,HIGH,True
TOTAL,2026-03-28,MIL,SAS,OVER,-110,226.5,0.7584,0.5,0.2584,25.8%,0.6319,HIGH,True
TOTAL,2026-03-28,MEM,CHI,OVER,-110,245.5,0.6564,0.5,0.1564,15.6%,0.4764,HIGH,True
TOTAL,2026-03-28,CHA,PHI,OVER,-110,232.5,0.6322,0.5,0.1322,13.2%,0.4396,HIGH,True
TOTAL,2026-03-28,ATL,SAC,UNDER,-110,236.5,0.5915,0.5,0.0915,9.1%,0.3774,HIGH,True
TOTAL,2026-03-28,PHX,UTA,OVER,-110,231.5,0.5843,0.5,0.0843,8.4%,0.3665,HIGH,True
