bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-28,NYK,ATL,ATL,210,+210,0.4004,0.3226,0.0778,7.8%,0.1149,NO PLAY,False
MONEYLINE,2026-04-28,BOS,PHI,PHI,400,+400,0.2542,0.2,0.0542,5.4%,0.0678,NO PLAY,False
MONEYLINE,2026-04-28,SAS,POR,POR,440,+440,0.1995,0.1852,0.0143,1.4%,0.0175,NO PLAY,False
SPREAD,2026-04-28,NYK,ATL,ATL,-110,+6.5,0.3679,0.5,-0.1321,-13.2%,0.0368,NO PLAY,False
SPREAD,2026-04-28,BOS,PHI,PHI,-110,+11.0,0.2296,0.5,-0.2704,-27.0%,0.0,NO PLAY,False
SPREAD,2026-04-28,SAS,POR,POR,-110,+12.0,0.1946,0.5,-0.3054,-30.5%,0.0,NO PLAY,False
TOTAL,2026-04-28,NYK,ATL,OVER,-110,214.5,0.7007,0.5,0.2007,20.1%,0.5438,HIGH,True
TOTAL,2026-04-28,SAS,POR,OVER,-110,216.5,0.617,0.5,0.117,11.7%,0.4164,HIGH,True
TOTAL,2026-04-28,BOS,PHI,UNDER,-110,213.5,0.5251,0.5,0.0251,2.5%,0.2764,NO PLAY,False
