bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-03-31,LAC,POR,POR,185,+185,0.4965,0.3509,0.1456,14.6%,0.2243,HIGH,True
SPREAD,2026-03-31,BKN,CHA,BKN,-110,+17.0,0.6599,0.5,0.1599,16.0%,0.4818,HIGH,True
SPREAD,2026-03-31,ORL,PHX,PHX,-110,+2.0,0.5451,0.5,0.0451,4.5%,0.3068,MEDIUM,True
SPREAD,2026-03-31,HOU,NYK,HOU,-110,+1.0,0.4635,0.5,-0.0365,-3.6%,0.1825,NO PLAY,False
SPREAD,2026-03-31,LAC,POR,POR,-110,+5.5,0.4558,0.5,-0.0442,-4.4%,0.1707,NO PLAY,False
SPREAD,2026-03-31,DET,TOR,TOR,-110,+2.5,0.3673,0.5,-0.1327,-13.3%,0.0358,NO PLAY,False
SPREAD,2026-03-31,MIL,DAL,MIL,-110,+1.0,0.2824,0.5,-0.2176,-21.8%,0.0,NO PLAY,False
SPREAD,2026-03-31,LAL,CLE,CLE,-110,+2.0,0.2393,0.5,-0.2607,-26.1%,0.0,NO PLAY,False
TOTAL,2026-03-31,DET,TOR,OVER,-110,220.0,0.8056,0.5,0.3056,30.6%,0.7038,HIGH,True
TOTAL,2026-03-31,LAL,CLE,OVER,-110,236.5,0.7644,0.5,0.2644,26.4%,0.641,HIGH,True
TOTAL,2026-03-31,LAC,POR,OVER,-110,227.5,0.7301,0.5,0.2301,23.0%,0.5888,HIGH,True
TOTAL,2026-03-31,ORL,PHX,OVER,-110,224.5,0.7059,0.5,0.2059,20.6%,0.5518,HIGH,True
TOTAL,2026-03-31,HOU,NYK,OVER,-110,217.5,0.6754,0.5,0.1754,17.5%,0.5054,HIGH,True
TOTAL,2026-03-31,BKN,CHA,UNDER,-110,219.0,0.6594,0.5,0.1594,15.9%,0.481,HIGH,True
TOTAL,2026-03-31,MIL,DAL,UNDER,-110,228.5,0.576,0.5,0.076,7.6%,0.3538,HIGH,True
