bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-09,WAS,CHI,WAS,210,+210,0.4898,0.3226,0.1672,16.7%,0.2468,HIGH,True
MONEYLINE,2026-04-09,GSW,LAL,LAL,155,+155,0.5117,0.3922,0.1195,12.0%,0.1966,MEDIUM,True
MONEYLINE,2026-04-09,NYK,BOS,BOS,159,+159,0.4889,0.3861,0.1028,10.3%,0.1675,MEDIUM,False
MONEYLINE,2026-04-09,BKN,IND,BKN,132,+132,0.393,0.431,-0.038,-3.8%,0.0,NO PLAY,False
MONEYLINE,2026-04-09,HOU,PHI,PHI,145,+145,0.3689,0.4082,-0.0392,-3.9%,0.0,NO PLAY,False
MONEYLINE,2026-04-09,TOR,MIA,MIA,134,+134,0.349,0.4274,-0.0784,-7.8%,0.0,NO PLAY,False
SPREAD,2026-04-09,WAS,CHI,WAS,-110,+6.0,0.5141,0.5,0.0141,1.4%,0.2596,NO PLAY,False
SPREAD,2026-04-09,GSW,LAL,LAL,-110,+4.5,0.5052,0.5,0.0052,0.5%,0.2461,NO PLAY,False
SPREAD,2026-04-09,NYK,BOS,BOS,-110,+4.5,0.4295,0.5,-0.0705,-7.0%,0.1307,NO PLAY,False
SPREAD,2026-04-09,TOR,MIA,MIA,-110,+3.5,0.373,0.5,-0.127,-12.7%,0.0445,NO PLAY,False
SPREAD,2026-04-09,HOU,PHI,PHI,-110,+4.0,0.3384,0.5,-0.1616,-16.2%,0.0,NO PLAY,False
SPREAD,2026-04-09,BKN,IND,BKN,-110,+3.0,0.3302,0.5,-0.1698,-17.0%,0.0,NO PLAY,False
TOTAL,2026-04-09,HOU,PHI,OVER,-110,227.0,0.8134,0.5,0.3134,31.3%,0.7157,HIGH,True
TOTAL,2026-04-09,TOR,MIA,OVER,-110,237.0,0.7466,0.5,0.2466,24.7%,0.6139,HIGH,True
TOTAL,2026-04-09,GSW,LAL,OVER,-110,225.5,0.6994,0.5,0.1994,19.9%,0.5419,HIGH,False
TOTAL,2026-04-09,NYK,BOS,OVER,-110,216.5,0.6754,0.5,0.1754,17.5%,0.5054,HIGH,False
TOTAL,2026-04-09,WAS,CHI,OVER,-110,247.5,0.6267,0.5,0.1267,12.7%,0.4312,HIGH,False
TOTAL,2026-04-09,BKN,IND,UNDER,-110,224.5,0.5618,0.5,0.0618,6.2%,0.3322,LOW,False
