bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-24,PHI,BOS,PHI,245,+245,0.4879,0.2899,0.198,19.8%,0.2789,HIGH,True
MONEYLINE,2026-04-24,HOU,LAL,LAL,265,+265,0.4205,0.274,0.1465,14.7%,0.2018,HIGH,True
SPREAD,2026-04-24,PHI,BOS,PHI,-110,+7.5,0.4942,0.5,-0.0058,-0.6%,0.2293,NO PLAY,False
SPREAD,2026-04-24,POR,SAS,POR,-110,+2.5,0.4508,0.5,-0.0492,-4.9%,0.1632,NO PLAY,False
SPREAD,2026-04-24,HOU,LAL,LAL,-110,+8.5,0.4074,0.5,-0.0926,-9.3%,0.097,NO PLAY,False
TOTAL,2026-04-24,POR,SAS,OVER,-110,219.5,0.7989,0.5,0.2989,29.9%,0.6936,HIGH,True
TOTAL,2026-04-24,PHI,BOS,OVER,-110,215.5,0.7086,0.5,0.2086,20.9%,0.5559,HIGH,True
TOTAL,2026-04-24,HOU,LAL,OVER,-110,207.0,0.5275,0.5,0.0275,2.7%,0.28,NO PLAY,False
