bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-05-03,CLE,TOR,TOR,241,+241,0.4954,0.2933,0.2022,20.2%,0.286,HIGH,True
MONEYLINE,2026-05-03,DET,ORL,ORL,260,+260,0.4201,0.2778,0.1424,14.2%,0.1971,HIGH,True
SPREAD,2026-05-03,CLE,TOR,TOR,-110,+8.0,0.4293,0.5,-0.0707,-7.1%,0.1304,NO PLAY,False
SPREAD,2026-05-03,DET,ORL,ORL,-110,+8.5,0.404,0.5,-0.096,-9.6%,0.0917,NO PLAY,False
TOTAL,2026-05-03,CLE,TOR,OVER,-110,211.5,0.749,0.5,0.249,24.9%,0.6174,HIGH,True
TOTAL,2026-05-03,DET,ORL,UNDER,-110,202.0,0.6124,0.5,0.1124,11.2%,0.4094,HIGH,True
