bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-02,GSW,CLE,GSW,360,+360,0.4844,0.2174,0.267,26.7%,0.3412,HIGH,True
MONEYLINE,2026-04-02,OKC,LAL,LAL,290,+290,0.4163,0.2564,0.1599,16.0%,0.215,HIGH,True
MONEYLINE,2026-04-02,POR,NOP,NOP,205,+205,0.3388,0.3279,0.0109,1.1%,0.0162,NO PLAY,False
MONEYLINE,2026-04-02,LAC,SAS,LAC,140,+140,0.4206,0.4167,0.0039,0.4%,0.0067,NO PLAY,False
MONEYLINE,2026-04-02,DET,MIN,MIN,135,+135,0.4038,0.4255,-0.0218,-2.2%,0.0,NO PLAY,False
MONEYLINE,2026-04-02,CHA,PHX,PHX,174,+174,0.3145,0.365,-0.0504,-5.0%,0.0,NO PLAY,False
SPREAD,2026-04-02,GSW,CLE,GSW,-110,+10.0,0.5446,0.5,0.0446,4.5%,0.306,NO PLAY,False
SPREAD,2026-04-02,OKC,LAL,LAL,-110,+9.0,0.437,0.5,-0.063,-6.3%,0.1421,NO PLAY,False
SPREAD,2026-04-02,LAC,SAS,LAC,-110,+3.5,0.4354,0.5,-0.0646,-6.5%,0.1396,NO PLAY,False
SPREAD,2026-04-02,DET,MIN,MIN,-110,+3.5,0.4187,0.5,-0.0813,-8.1%,0.1142,NO PLAY,False
SPREAD,2026-04-02,POR,NOP,NOP,-110,+6.5,0.3374,0.5,-0.1626,-16.3%,0.0,NO PLAY,False
SPREAD,2026-04-02,CHA,PHX,PHX,-110,+5.5,0.3222,0.5,-0.1778,-17.8%,0.0,NO PLAY,False
TOTAL,2026-04-02,GSW,CLE,OVER,-110,228.0,0.7527,0.5,0.2527,25.3%,0.6231,HIGH,True
TOTAL,2026-04-02,CHA,PHX,OVER,-110,223.5,0.7486,0.5,0.2486,24.9%,0.617,HIGH,True
TOTAL,2026-04-02,LAC,SAS,OVER,-110,230.5,0.6811,0.5,0.1811,18.1%,0.5141,HIGH,False
TOTAL,2026-04-02,POR,NOP,UNDER,-110,232.5,0.6575,0.5,0.1575,15.7%,0.478,HIGH,False
TOTAL,2026-04-02,DET,MIN,OVER,-110,224.5,0.6246,0.5,0.1246,12.5%,0.4279,HIGH,False
TOTAL,2026-04-02,OKC,LAL,OVER,-110,231.5,0.5551,0.5,0.0551,5.5%,0.3221,NO PLAY,False
