bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-30,PHI,BOS,PHI,195,+195,0.5698,0.339,0.2308,23.1%,0.3492,HIGH,True
MONEYLINE,2026-04-30,MIN,DEN,MIN,210,+210,0.3995,0.3226,0.0769,7.7%,0.1135,NO PLAY,False
SPREAD,2026-04-30,PHI,BOS,PHI,-110,+6.5,0.5742,0.5,0.0742,7.4%,0.3512,LOW,True
SPREAD,2026-04-30,ATL,NYK,ATL,-110,+2.5,0.4731,0.5,-0.0269,-2.7%,0.1971,NO PLAY,False
SPREAD,2026-04-30,MIN,DEN,MIN,-110,+6.5,0.3551,0.5,-0.1449,-14.5%,0.0173,NO PLAY,False
TOTAL,2026-04-30,MIN,DEN,OVER,-110,224.5,0.7443,0.5,0.2443,24.4%,0.6104,HIGH,True
TOTAL,2026-04-30,PHI,BOS,UNDER,-110,213.0,0.5814,0.5,0.0814,8.1%,0.3621,MEDIUM,True
TOTAL,2026-04-30,ATL,NYK,OVER,-110,214.5,0.5415,0.5,0.0415,4.2%,0.3013,NO PLAY,False
