bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-20,CLE,TOR,TOR,289,+289,0.2414,0.2571,-0.0156,-1.6%,0.0,NO PLAY,False
MONEYLINE,2026-04-20,NYK,ATL,ATL,200,+200,0.2441,0.3333,-0.0892,-8.9%,0.0,NO PLAY,False
MONEYLINE,2026-04-20,DEN,MIN,MIN,222,+222,0.159,0.3106,-0.1515,-15.2%,0.0,NO PLAY,False
SPREAD,2026-04-20,CLE,TOR,TOR,-110,+9.0,0.2288,0.5,-0.2712,-27.1%,0.0,NO PLAY,False
SPREAD,2026-04-20,NYK,ATL,ATL,-110,+6.0,0.2188,0.5,-0.2812,-28.1%,0.0,NO PLAY,False
SPREAD,2026-04-20,DEN,MIN,MIN,-110,+7.0,0.1621,0.5,-0.3379,-33.8%,0.0,NO PLAY,False
TOTAL,2026-04-20,CLE,TOR,OVER,-110,222.5,0.7605,0.5,0.2605,26.0%,0.635,HIGH,True
TOTAL,2026-04-20,DEN,MIN,OVER,-110,232.0,0.6391,0.5,0.1391,13.9%,0.45,HIGH,True
TOTAL,2026-04-20,NYK,ATL,OVER,-110,218.0,0.619,0.5,0.119,11.9%,0.4193,HIGH,False
