bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-08,PHX,DAL,DAL,415,+415,0.3206,0.1942,0.1264,12.6%,0.1569,HIGH,True
MONEYLINE,2026-04-08,LAC,OKC,LAC,220,+220,0.4051,0.3125,0.0926,9.3%,0.1347,LOW,True
MONEYLINE,2026-04-08,ORL,MIN,MIN,214,+214,0.3873,0.3185,0.0689,6.9%,0.101,NO PLAY,False
MONEYLINE,2026-04-08,SAS,POR,POR,135,+135,0.2941,0.4255,-0.1314,-13.1%,0.0,NO PLAY,False
SPREAD,2026-04-08,LAC,OKC,LAC,-110,+6.5,0.4306,0.5,-0.0694,-6.9%,0.1324,NO PLAY,False
SPREAD,2026-04-08,ORL,MIN,MIN,-110,+7.5,0.3845,0.5,-0.1155,-11.5%,0.0621,NO PLAY,False
SPREAD,2026-04-08,SAS,POR,POR,-110,+3.5,0.3004,0.5,-0.1996,-20.0%,0.0,NO PLAY,False
SPREAD,2026-04-08,CLE,ATL,ATL,-110,+1.5,0.2939,0.5,-0.2061,-20.6%,0.0,NO PLAY,False
SPREAD,2026-04-08,PHX,DAL,DAL,-110,+10.5,0.2862,0.5,-0.2138,-21.4%,0.0,NO PLAY,False
SPREAD,2026-04-08,DET,MIL,MIL,-110,+19.5,0.1718,0.5,-0.3282,-32.8%,0.0,NO PLAY,False
SPREAD,2026-04-08,DEN,MEM,MEM,-110,+23.0,0.1055,0.5,-0.3945,-39.4%,0.0,NO PLAY,False
TOTAL,2026-04-08,LAC,OKC,OVER,-110,226.5,0.7475,0.5,0.2475,24.7%,0.6152,HIGH,True
TOTAL,2026-04-08,SAS,POR,OVER,-110,229.0,0.7337,0.5,0.2337,23.4%,0.5942,HIGH,True
TOTAL,2026-04-08,CLE,ATL,OVER,-110,236.0,0.7192,0.5,0.2192,21.9%,0.5721,HIGH,False
TOTAL,2026-04-08,DEN,MEM,OVER,-110,244.0,0.634,0.5,0.134,13.4%,0.4423,HIGH,False
TOTAL,2026-04-08,ORL,MIN,UNDER,-110,229.5,0.5969,0.5,0.0969,9.7%,0.3857,MEDIUM,False
TOTAL,2026-04-08,DET,MIL,OVER,-110,221.5,0.5365,0.5,0.0365,3.6%,0.2937,NO PLAY,False
TOTAL,2026-04-08,PHX,DAL,UNDER,-110,231.5,0.5271,0.5,0.0271,2.7%,0.2794,NO PLAY,False
