bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-14,CHA,MIA,MIA,195,+195,0.3923,0.339,0.0534,5.3%,0.0807,NO PLAY,False
MONEYLINE,2026-04-14,PHX,POR,POR,135,+135,0.455,0.4255,0.0295,2.9%,0.0513,NO PLAY,False
SPREAD,2026-04-14,PHX,POR,POR,-110,+3.0,0.4249,0.5,-0.0751,-7.5%,0.1236,NO PLAY,False
SPREAD,2026-04-14,CHA,MIA,MIA,-110,+6.0,0.3844,0.5,-0.1156,-11.6%,0.062,NO PLAY,False
TOTAL,2026-04-14,PHX,POR,OVER,-110,217.0,0.7058,0.5,0.2058,20.6%,0.5517,HIGH,True
TOTAL,2026-04-14,CHA,MIA,OVER,-110,230.0,0.5929,0.5,0.0929,9.3%,0.3797,MEDIUM,True
