bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-29,DET,ORL,ORL,310,+310,0.504,0.2439,0.2601,26.0%,0.3441,HIGH,True
MONEYLINE,2026-04-29,CLE,TOR,TOR,303,+303,0.4618,0.2481,0.2136,21.4%,0.2841,HIGH,True
MONEYLINE,2026-04-29,LAL,HOU,HOU,150,+150,0.2898,0.4,-0.1102,-11.0%,0.0,NO PLAY,False
SPREAD,2026-04-29,DET,ORL,ORL,-110,+10.0,0.5012,0.5,0.0012,0.1%,0.2399,NO PLAY,False
SPREAD,2026-04-29,CLE,TOR,TOR,-110,+9.0,0.4071,0.5,-0.0929,-9.3%,0.0965,NO PLAY,False
SPREAD,2026-04-29,LAL,HOU,HOU,-110,+4.0,0.1804,0.5,-0.3196,-32.0%,0.0,NO PLAY,False
TOTAL,2026-04-29,CLE,TOR,OVER,-110,218.0,0.738,0.5,0.238,23.8%,0.6008,HIGH,True
TOTAL,2026-04-29,LAL,HOU,OVER,-110,208.5,0.5837,0.5,0.0837,8.4%,0.3657,MEDIUM,True
TOTAL,2026-04-29,DET,ORL,UNDER,-110,211.5,0.5525,0.5,0.0525,5.2%,0.3181,NO PLAY,False
