bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-01,ORL,ATL,ORL,148,+148,0.5482,0.4032,0.145,14.5%,0.2429,HIGH,True
MONEYLINE,2026-04-01,MIA,BOS,MIA,166,+166,0.5191,0.3759,0.1432,14.3%,0.2295,HIGH,True
MONEYLINE,2026-04-01,CHI,IND,IND,165,+165,0.4723,0.3774,0.095,9.5%,0.1525,MEDIUM,True
SPREAD,2026-04-01,MEM,NYK,MEM,-110,+14.5,0.6344,0.5,0.1344,13.4%,0.4429,HIGH,True
SPREAD,2026-04-01,UTA,DEN,UTA,-110,+17.0,0.6337,0.5,0.1337,13.4%,0.4417,HIGH,True
SPREAD,2026-04-01,WAS,PHI,WAS,-110,+15.5,0.6099,0.5,0.1099,11.0%,0.4056,HIGH,True
SPREAD,2026-04-01,ORL,ATL,ORL,-110,+4.5,0.5724,0.5,0.0724,7.2%,0.3484,HIGH,True
SPREAD,2026-04-01,CHI,IND,IND,-110,+4.5,0.5634,0.5,0.0634,6.3%,0.3347,HIGH,True
SPREAD,2026-04-01,MIA,BOS,MIA,-110,+5.0,0.535,0.5,0.035,3.5%,0.2914,LOW,True
SPREAD,2026-04-01,GSW,SAS,GSW,-110,+13.5,0.5263,0.5,0.0263,2.6%,0.2782,LOW,True
SPREAD,2026-04-01,TOR,SAC,SAC,-110,+13.5,0.2614,0.5,-0.2386,-23.9%,0.0,NO PLAY,False
SPREAD,2026-04-01,HOU,MIL,MIL,-110,+17.5,0.2471,0.5,-0.2529,-25.3%,0.0,NO PLAY,False
TOTAL,2026-04-01,UTA,DEN,OVER,-110,249.0,0.827,0.5,0.327,32.7%,0.7364,HIGH,True
TOTAL,2026-04-01,CHI,IND,OVER,-110,248.5,0.7767,0.5,0.2767,27.7%,0.6597,HIGH,True
TOTAL,2026-04-01,GSW,SAS,OVER,-110,226.5,0.7213,0.5,0.2213,22.1%,0.5753,HIGH,True
TOTAL,2026-04-01,ORL,ATL,OVER,-110,232.5,0.5971,0.5,0.0971,9.7%,0.386,HIGH,True
TOTAL,2026-04-01,TOR,SAC,OVER,-110,226.5,0.5835,0.5,0.0835,8.3%,0.3653,HIGH,True
TOTAL,2026-04-01,WAS,PHI,OVER,-110,240.5,0.5322,0.5,0.0322,3.2%,0.2872,LOW,True
TOTAL,2026-04-01,MEM,NYK,UNDER,-110,228.0,0.5274,0.5,0.0274,2.7%,0.2799,LOW,True
TOTAL,2026-04-01,MIA,BOS,UNDER,-110,228.5,0.5234,0.5,0.0234,2.3%,0.2738,LOW,True
TOTAL,2026-04-01,HOU,MIL,UNDER,-110,218.0,0.5152,0.5,0.0152,1.5%,0.2613,NO PLAY,False
