bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-05-06,SAS,MIN,MIN,320,+320,0.5572,0.2381,0.3191,31.9%,0.4188,HIGH,True
MONEYLINE,2026-05-06,NYK,PHI,PHI,240,+240,0.2152,0.2941,-0.0789,-7.9%,0.0,NO PLAY,False
SPREAD,2026-05-06,SAS,MIN,MIN,-110,+10.0,0.5217,0.5,0.0217,2.2%,0.2712,NO PLAY,False
SPREAD,2026-05-06,NYK,PHI,PHI,-110,+8.0,0.1723,0.5,-0.3277,-32.8%,0.0,NO PLAY,False
TOTAL,2026-05-06,NYK,PHI,UNDER,-110,216.5,0.5783,0.5,0.0783,7.8%,0.3574,LOW,True
TOTAL,2026-05-06,SAS,MIN,UNDER,-110,216.5,0.5121,0.5,0.0121,1.2%,0.2565,NO PLAY,False
