bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-12,DAL,CHI,CHI,215,+215,0.455,0.3175,0.1376,13.8%,0.2015,HIGH,True
MONEYLINE,2026-04-12,SAS,DEN,DEN,383,+383,0.309,0.207,0.102,10.2%,0.1286,MEDIUM,True
MONEYLINE,2026-04-12,MIA,ATL,ATL,155,+155,0.4582,0.3922,0.0661,6.6%,0.1087,NO PLAY,False
MONEYLINE,2026-04-12,LAC,GSW,GSW,220,+220,0.3778,0.3125,0.0653,6.5%,0.0951,NO PLAY,False
MONEYLINE,2026-04-12,CLE,WAS,WAS,425,+425,0.1391,0.1905,-0.0514,-5.1%,0.0,NO PLAY,False
MONEYLINE,2026-04-12,MIN,NOP,NOP,205,+205,0.2381,0.3279,-0.0898,-9.0%,0.0,NO PLAY,False
MONEYLINE,2026-04-12,OKC,PHX,PHX,200,+200,0.1622,0.3333,-0.1711,-17.1%,0.0,NO PLAY,False
SPREAD,2026-04-12,IND,DET,IND,-110,+14.0,0.5749,0.5,0.0749,7.5%,0.3522,LOW,True
SPREAD,2026-04-12,DAL,CHI,CHI,-110,+6.5,0.486,0.5,-0.014,-1.4%,0.2168,NO PLAY,False
SPREAD,2026-04-12,MIA,ATL,ATL,-110,+4.5,0.4584,0.5,-0.0416,-4.2%,0.1746,NO PLAY,False
SPREAD,2026-04-12,SAS,DEN,DEN,-110,+11.0,0.4019,0.5,-0.0981,-9.8%,0.0885,NO PLAY,False
SPREAD,2026-04-12,BOS,ORL,BOS,-110,+12.5,0.3714,0.5,-0.1286,-12.9%,0.0421,NO PLAY,False
SPREAD,2026-04-12,LAC,GSW,GSW,-110,+6.5,0.3666,0.5,-0.1334,-13.3%,0.0347,NO PLAY,False
SPREAD,2026-04-12,NYK,CHA,NYK,-110,+13.5,0.3192,0.5,-0.1808,-18.1%,0.0,NO PLAY,False
SPREAD,2026-04-12,PHI,MIL,MIL,-110,+15.5,0.3125,0.5,-0.1875,-18.8%,0.0,NO PLAY,False
SPREAD,2026-04-12,POR,SAC,SAC,-110,+17.0,0.2986,0.5,-0.2014,-20.1%,0.0,NO PLAY,False
SPREAD,2026-04-12,TOR,BKN,BKN,-110,+23.5,0.2523,0.5,-0.2477,-24.8%,0.0,NO PLAY,False
SPREAD,2026-04-12,MIN,NOP,NOP,-110,+6.0,0.2266,0.5,-0.2734,-27.3%,0.0,NO PLAY,False
SPREAD,2026-04-12,LAL,UTA,UTA,-110,+14.0,0.2026,0.5,-0.2974,-29.7%,0.0,NO PLAY,False
SPREAD,2026-04-12,HOU,MEM,MEM,-110,+13.5,0.1603,0.5,-0.3397,-34.0%,0.0,NO PLAY,False
SPREAD,2026-04-12,OKC,PHX,PHX,-110,+5.5,0.154,0.5,-0.346,-34.6%,0.0,NO PLAY,False
SPREAD,2026-04-12,CLE,WAS,WAS,-110,+10.5,0.139,0.5,-0.361,-36.1%,0.0,NO PLAY,False
TOTAL,2026-04-12,MIA,ATL,OVER,-110,242.0,0.8644,0.5,0.3644,36.4%,0.7934,HIGH,True
TOTAL,2026-04-12,BOS,ORL,OVER,-110,221.0,0.7755,0.5,0.2755,27.5%,0.6579,HIGH,True
TOTAL,2026-04-12,SAS,DEN,OVER,-110,232.5,0.7565,0.5,0.2565,25.6%,0.6289,HIGH,False
TOTAL,2026-04-12,NYK,CHA,OVER,-110,218.0,0.7042,0.5,0.2042,20.4%,0.5492,HIGH,False
TOTAL,2026-04-12,LAC,GSW,OVER,-110,226.0,0.6931,0.5,0.1931,19.3%,0.5323,HIGH,False
TOTAL,2026-04-12,IND,DET,OVER,-110,229.5,0.6835,0.5,0.1835,18.4%,0.5178,HIGH,False
TOTAL,2026-04-12,OKC,PHX,OVER,-110,213.0,0.6458,0.5,0.1458,14.6%,0.4602,HIGH,False
TOTAL,2026-04-12,MIN,NOP,UNDER,-110,236.0,0.6387,0.5,0.1387,13.9%,0.4494,HIGH,False
TOTAL,2026-04-12,TOR,BKN,UNDER,-110,219.5,0.5927,0.5,0.0927,9.3%,0.3793,MEDIUM,False
TOTAL,2026-04-12,POR,SAC,OVER,-110,227.5,0.5806,0.5,0.0806,8.1%,0.3608,MEDIUM,False
TOTAL,2026-04-12,DAL,CHI,OVER,-110,248.5,0.5769,0.5,0.0769,7.7%,0.3552,LOW,False
TOTAL,2026-04-12,LAL,UTA,OVER,-110,236.5,0.553,0.5,0.053,5.3%,0.3189,NO PLAY,False
TOTAL,2026-04-12,CLE,WAS,OVER,-110,235.5,0.5478,0.5,0.0478,4.8%,0.3109,NO PLAY,False
TOTAL,2026-04-12,PHI,MIL,OVER,-110,227.0,0.5463,0.5,0.0463,4.6%,0.3086,NO PLAY,False
TOTAL,2026-04-12,HOU,MEM,UNDER,-110,225.5,0.526,0.5,0.026,2.6%,0.2776,NO PLAY,False
