bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-05-08,MIN,SAS,MIN,170,+170,0.4611,0.3704,0.0907,9.1%,0.1441,LOW,True
SPREAD,2026-05-08,PHI,NYK,NYK,-110,+1.5,0.6258,0.5,0.1258,12.6%,0.4298,HIGH,True
SPREAD,2026-05-08,MIN,SAS,MIN,-110,+5.0,0.4448,0.5,-0.0552,-5.5%,0.154,NO PLAY,False
TOTAL,2026-05-08,PHI,NYK,UNDER,-110,214.5,0.7124,0.5,0.2124,21.2%,0.5617,HIGH,True
TOTAL,2026-05-08,MIN,SAS,OVER,-110,216.5,0.6946,0.5,0.1946,19.5%,0.5346,HIGH,True
