bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-04,PHI,DET,PHI,134,+134,0.3698,0.4274,-0.0575,-5.8%,0.0,NO PLAY,False
SPREAD,2026-04-04,PHI,DET,PHI,-110,+3.5,0.444,0.5,-0.056,-5.6%,0.1528,NO PLAY,False
SPREAD,2026-04-04,MIA,WAS,WAS,-110,+17.5,0.4339,0.5,-0.0661,-6.6%,0.1373,NO PLAY,False
SPREAD,2026-04-04,DEN,SAS,DEN,-110,+1.5,0.326,0.5,-0.174,-17.4%,0.0,NO PLAY,False
TOTAL,2026-04-04,DEN,SAS,OVER,-110,242.5,0.8328,0.5,0.3328,33.3%,0.7453,HIGH,True
TOTAL,2026-04-04,PHI,DET,OVER,-110,226.5,0.7028,0.5,0.2028,20.3%,0.5472,HIGH,True
TOTAL,2026-04-04,MIA,WAS,OVER,-110,245.5,0.6926,0.5,0.1926,19.3%,0.5316,HIGH,False
