bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-25,PHX,OKC,PHX,320,+320,0.5895,0.2381,0.3514,35.1%,0.4612,HIGH,True
SPREAD,2026-04-25,PHX,OKC,PHX,-110,+9.0,0.5735,0.5,0.0735,7.3%,0.35,LOW,True
SPREAD,2026-04-25,ORL,DET,ORL,-110,+2.5,0.4347,0.5,-0.0653,-6.5%,0.1386,NO PLAY,False
SPREAD,2026-04-25,MIN,DEN,MIN,-110,+1.0,0.3293,0.5,-0.1707,-17.1%,0.0,NO PLAY,False
SPREAD,2026-04-25,ATL,NYK,ATL,-110,+2.0,0.2692,0.5,-0.2308,-23.1%,0.0,NO PLAY,False
TOTAL,2026-04-25,MIN,DEN,OVER,-110,229.0,0.7267,0.5,0.2267,22.7%,0.5836,HIGH,True
TOTAL,2026-04-25,ORL,DET,OVER,-110,215.5,0.6831,0.5,0.1831,18.3%,0.5171,HIGH,True
TOTAL,2026-04-25,PHX,OKC,UNDER,-110,214.0,0.5875,0.5,0.0875,8.8%,0.3714,MEDIUM,False
TOTAL,2026-04-25,ATL,NYK,OVER,-110,215.0,0.5264,0.5,0.0264,2.6%,0.2784,NO PLAY,False
