bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-10,SAC,GSW,SAC,364,+364,0.4382,0.2155,0.2227,22.3%,0.2839,HIGH,True
MONEYLINE,2026-04-10,ATL,CLE,CLE,263,+263,0.4414,0.2755,0.166,16.6%,0.2291,HIGH,True
MONEYLINE,2026-04-10,MIL,BKN,BKN,360,+360,0.3561,0.2174,0.1387,13.9%,0.1772,HIGH,False
MONEYLINE,2026-04-10,DEN,OKC,OKC,440,+440,0.3069,0.1852,0.1217,12.2%,0.1493,HIGH,False
MONEYLINE,2026-04-10,CHA,DET,DET,170,+170,0.4558,0.3704,0.0854,8.5%,0.1357,LOW,False
MONEYLINE,2026-04-10,UTA,MEM,MEM,135,+135,0.4724,0.4255,0.0468,4.7%,0.0815,NO PLAY,False
MONEYLINE,2026-04-10,HOU,MIN,MIN,360,+360,0.2207,0.2174,0.0033,0.3%,0.0042,NO PLAY,False
MONEYLINE,2026-04-10,NYK,TOR,TOR,200,+200,0.2887,0.3333,-0.0447,-4.5%,0.0,NO PLAY,False
SPREAD,2026-04-10,CHI,ORL,CHI,-110,+15.0,0.6671,0.5,0.1671,16.7%,0.4926,HIGH,True
SPREAD,2026-04-10,IND,PHI,IND,-110,+15.0,0.5081,0.5,0.0081,0.8%,0.2504,NO PLAY,False
SPREAD,2026-04-10,UTA,MEM,MEM,-110,+3.5,0.5011,0.5,0.0011,0.1%,0.2397,NO PLAY,False
SPREAD,2026-04-10,WAS,MIA,WAS,-110,+17.5,0.4506,0.5,-0.0494,-4.9%,0.1628,NO PLAY,False
SPREAD,2026-04-10,CHA,DET,DET,-110,+5.5,0.4189,0.5,-0.0811,-8.1%,0.1145,NO PLAY,False
SPREAD,2026-04-10,POR,LAC,LAC,-110,+1.5,0.4103,0.5,-0.0897,-9.0%,0.1014,NO PLAY,False
SPREAD,2026-04-10,ATL,CLE,CLE,-110,+7.5,0.3905,0.5,-0.1095,-10.9%,0.0713,NO PLAY,False
SPREAD,2026-04-10,LAL,PHX,LAL,-110,+2.5,0.3767,0.5,-0.1233,-12.3%,0.0503,NO PLAY,False
SPREAD,2026-04-10,SAC,GSW,SAC,-110,+10.5,0.3756,0.5,-0.1244,-12.4%,0.0485,NO PLAY,False
SPREAD,2026-04-10,DEN,OKC,OKC,-110,+12.0,0.3139,0.5,-0.1861,-18.6%,0.0,NO PLAY,False
SPREAD,2026-04-10,MIL,BKN,BKN,-110,+9.5,0.2787,0.5,-0.2213,-22.1%,0.0,NO PLAY,False
SPREAD,2026-04-10,HOU,MIN,MIN,-110,+10.5,0.2386,0.5,-0.2614,-26.1%,0.0,NO PLAY,False
SPREAD,2026-04-10,BOS,NOP,NOP,-110,+16.5,0.2224,0.5,-0.2776,-27.8%,0.0,NO PLAY,False
SPREAD,2026-04-10,NYK,TOR,TOR,-110,+6.0,0.2212,0.5,-0.2788,-27.9%,0.0,NO PLAY,False
SPREAD,2026-04-10,SAS,DAL,DAL,-110,+17.5,0.1006,0.5,-0.3994,-39.9%,0.0,NO PLAY,False
TOTAL,2026-04-10,DEN,OKC,OVER,-110,231.5,0.7989,0.5,0.2989,29.9%,0.6936,HIGH,True
TOTAL,2026-04-10,ATL,CLE,OVER,-110,233.5,0.7922,0.5,0.2922,29.2%,0.6833,HIGH,True
TOTAL,2026-04-10,NYK,TOR,OVER,-110,219.5,0.7723,0.5,0.2723,27.2%,0.653,HIGH,False
TOTAL,2026-04-10,LAL,PHX,OVER,-110,218.0,0.7468,0.5,0.2468,24.7%,0.6142,HIGH,False
TOTAL,2026-04-10,CHI,ORL,OVER,-110,243.0,0.7453,0.5,0.2453,24.5%,0.6119,HIGH,False
TOTAL,2026-04-10,POR,LAC,OVER,-110,227.0,0.7304,0.5,0.2304,23.0%,0.5892,HIGH,False
TOTAL,2026-04-10,WAS,MIA,OVER,-110,246.5,0.7036,0.5,0.2036,20.4%,0.5483,HIGH,False
TOTAL,2026-04-10,UTA,MEM,OVER,-110,248.0,0.6744,0.5,0.1744,17.4%,0.5038,HIGH,False
TOTAL,2026-04-10,SAS,DAL,OVER,-110,235.0,0.6632,0.5,0.1632,16.3%,0.4868,HIGH,False
TOTAL,2026-04-10,CHA,DET,OVER,-110,225.5,0.6591,0.5,0.1591,15.9%,0.4806,HIGH,False
TOTAL,2026-04-10,BOS,NOP,OVER,-110,223.5,0.6059,0.5,0.1059,10.6%,0.3994,HIGH,False
TOTAL,2026-04-10,HOU,MIN,OVER,-110,222.0,0.5824,0.5,0.0824,8.2%,0.3636,MEDIUM,False
TOTAL,2026-04-10,IND,PHI,OVER,-110,233.5,0.5741,0.5,0.0741,7.4%,0.351,LOW,False
TOTAL,2026-04-10,MIL,BKN,UNDER,-110,218.5,0.5511,0.5,0.0511,5.1%,0.316,NO PLAY,False
TOTAL,2026-04-10,SAC,GSW,OVER,-110,228.5,0.5401,0.5,0.0401,4.0%,0.2993,NO PLAY,False
