bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-03-27,IND,LAC,IND,300,+300,0.564,0.25,0.314,31.4%,0.4187,HIGH,True
MONEYLINE,2026-03-27,POR,DAL,DAL,364,+364,0.3193,0.2155,0.1038,10.4%,0.1323,HIGH,True
MONEYLINE,2026-03-27,TOR,NOP,NOP,270,+270,0.3328,0.2703,0.0625,6.3%,0.0857,MEDIUM,True
MONEYLINE,2026-03-27,CLE,MIA,MIA,171,+171,0.3882,0.369,0.0192,1.9%,0.0305,NO PLAY,False
MONEYLINE,2026-03-27,BOS,ATL,ATL,170,+170,0.3303,0.3704,-0.04,-4.0%,0.0,NO PLAY,False
SPREAD,2026-03-27,MEM,HOU,MEM,-110,+13.0,0.6313,0.5,0.1313,13.1%,0.4382,HIGH,True
SPREAD,2026-03-27,IND,LAC,IND,-110,+8.5,0.538,0.5,0.038,3.8%,0.296,LOW,True
SPREAD,2026-03-27,GSW,WAS,WAS,-110,+14.0,0.4328,0.5,-0.0672,-6.7%,0.1357,NO PLAY,False
SPREAD,2026-03-27,POR,DAL,DAL,-110,+10.5,0.3625,0.5,-0.1375,-13.7%,0.0286,NO PLAY,False
SPREAD,2026-03-27,CLE,MIA,MIA,-110,+5.5,0.3558,0.5,-0.1442,-14.4%,0.0184,NO PLAY,False
SPREAD,2026-03-27,BOS,ATL,ATL,-110,+5.0,0.3341,0.5,-0.1659,-16.6%,0.0,NO PLAY,False
SPREAD,2026-03-27,TOR,NOP,NOP,-110,+8.5,0.3168,0.5,-0.1832,-18.3%,0.0,NO PLAY,False
SPREAD,2026-03-27,OKC,CHI,CHI,-110,+19.5,0.2293,0.5,-0.2707,-27.1%,0.0,NO PLAY,False
SPREAD,2026-03-27,DEN,UTA,UTA,-110,+18.5,0.1777,0.5,-0.3223,-32.2%,0.0,NO PLAY,False
SPREAD,2026-03-27,LAL,BKN,BKN,-110,+16.0,0.1484,0.5,-0.3516,-35.2%,0.0,NO PLAY,False
TOTAL,2026-03-27,DEN,UTA,OVER,-110,248.5,0.7734,0.5,0.2734,27.3%,0.6546,HIGH,True
TOTAL,2026-03-27,CLE,MIA,OVER,-110,242.5,0.7294,0.5,0.2294,22.9%,0.5876,HIGH,True
TOTAL,2026-03-27,BOS,ATL,OVER,-110,226.5,0.6982,0.5,0.1982,19.8%,0.54,HIGH,True
TOTAL,2026-03-27,IND,LAC,OVER,-110,239.0,0.677,0.5,0.177,17.7%,0.5078,HIGH,True
TOTAL,2026-03-27,LAL,BKN,UNDER,-110,222.5,0.6357,0.5,0.1357,13.6%,0.4449,HIGH,True
TOTAL,2026-03-27,POR,DAL,OVER,-110,239.5,0.6126,0.5,0.1126,11.3%,0.4097,HIGH,True
TOTAL,2026-03-27,MEM,HOU,OVER,-110,227.5,0.5845,0.5,0.0845,8.4%,0.3668,HIGH,True
TOTAL,2026-03-27,GSW,WAS,OVER,-110,232.5,0.5382,0.5,0.0382,3.8%,0.2964,LOW,True
TOTAL,2026-03-27,TOR,NOP,UNDER,-110,229.0,0.5088,0.5,0.0088,0.9%,0.2515,NO PLAY,False
TOTAL,2026-03-27,OKC,CHI,UNDER,-110,239.0,0.503,0.5,0.003,0.3%,0.2427,NO PLAY,False
