bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-06,SAS,PHI,PHI,295,+295,0.2718,0.2532,0.0187,1.9%,0.025,NO PLAY,False
MONEYLINE,2026-04-06,DEN,POR,POR,274,+274,0.2645,0.2674,-0.0029,-0.3%,0.0,NO PLAY,False
SPREAD,2026-04-06,ORL,DET,ORL,-110,+2.5,0.5637,0.5,0.0637,6.4%,0.3351,LOW,True
SPREAD,2026-04-06,MEM,CLE,MEM,-110,+15.0,0.5422,0.5,0.0422,4.2%,0.3023,NO PLAY,False
SPREAD,2026-04-06,ATL,NYK,NYK,-110,+1.5,0.3212,0.5,-0.1788,-17.9%,0.0,NO PLAY,False
SPREAD,2026-04-06,DEN,POR,POR,-110,+8.5,0.3081,0.5,-0.1919,-19.2%,0.0,NO PLAY,False
SPREAD,2026-04-06,SAS,PHI,PHI,-110,+8.5,0.2939,0.5,-0.2061,-20.6%,0.0,NO PLAY,False
TOTAL,2026-04-06,SAS,PHI,OVER,-110,237.0,0.8207,0.5,0.3207,32.1%,0.7269,HIGH,True
TOTAL,2026-04-06,DEN,POR,OVER,-110,238.0,0.756,0.5,0.256,25.6%,0.6282,HIGH,True
TOTAL,2026-04-06,ATL,NYK,OVER,-110,226.5,0.7169,0.5,0.2169,21.7%,0.5687,HIGH,False
TOTAL,2026-04-06,ORL,DET,OVER,-110,225.0,0.5242,0.5,0.0242,2.4%,0.275,NO PLAY,False
TOTAL,2026-04-06,MEM,CLE,UNDER,-110,235.0,0.5077,0.5,0.0077,0.8%,0.2498,NO PLAY,False
