bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-26,PHI,BOS,PHI,247,+247,0.5224,0.2882,0.2342,23.4%,0.329,HIGH,True
MONEYLINE,2026-04-26,POR,SAS,POR,165,+165,0.5049,0.3774,0.1275,12.8%,0.2048,HIGH,True
MONEYLINE,2026-04-26,TOR,CLE,TOR,150,+150,0.5078,0.4,0.1078,10.8%,0.1797,MEDIUM,False
MONEYLINE,2026-04-26,HOU,LAL,LAL,150,+150,0.4441,0.4,0.0441,4.4%,0.0735,NO PLAY,False
SPREAD,2026-04-26,POR,SAS,POR,-110,+5.0,0.5314,0.5,0.0314,3.1%,0.2859,NO PLAY,False
SPREAD,2026-04-26,PHI,BOS,PHI,-110,+7.5,0.5147,0.5,0.0147,1.5%,0.2604,NO PLAY,False
SPREAD,2026-04-26,TOR,CLE,TOR,-110,+4.0,0.4826,0.5,-0.0174,-1.7%,0.2116,NO PLAY,False
SPREAD,2026-04-26,HOU,LAL,LAL,-110,+4.5,0.4144,0.5,-0.0856,-8.6%,0.1077,NO PLAY,False
TOTAL,2026-04-26,TOR,CLE,OVER,-110,220.0,0.8262,0.5,0.3262,32.6%,0.7352,HIGH,True
TOTAL,2026-04-26,POR,SAS,OVER,-110,218.5,0.6924,0.5,0.1924,19.2%,0.5312,HIGH,True
TOTAL,2026-04-26,HOU,LAL,UNDER,-110,207.5,0.5241,0.5,0.0241,2.4%,0.2748,NO PLAY,False
TOTAL,2026-04-26,PHI,BOS,UNDER,-110,213.5,0.5021,0.5,0.0021,0.2%,0.2413,NO PLAY,False
