bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-07,NOP,UTA,UTA,440,+440,0.3941,0.1852,0.2089,20.9%,0.2564,HIGH,True
MONEYLINE,2026-04-07,WAS,CHI,WAS,189,+189,0.466,0.346,0.12,12.0%,0.1834,MEDIUM,True
MONEYLINE,2026-04-07,LAC,DAL,DAL,450,+450,0.292,0.1818,0.1102,11.0%,0.1347,MEDIUM,False
MONEYLINE,2026-04-07,BOS,CHA,CHA,170,+170,0.3411,0.3704,-0.0293,-2.9%,0.0,NO PLAY,False
SPREAD,2026-04-07,PHX,HOU,HOU,-110,+1.0,0.4926,0.5,-0.0074,-0.7%,0.2269,NO PLAY,False
SPREAD,2026-04-07,WAS,CHI,WAS,-110,+6.0,0.4716,0.5,-0.0284,-2.8%,0.1947,NO PLAY,False
SPREAD,2026-04-07,BKN,MIL,BKN,-110,+2.0,0.463,0.5,-0.037,-3.7%,0.1817,NO PLAY,False
SPREAD,2026-04-07,TOR,MIA,MIA,-110,+1.5,0.4139,0.5,-0.0861,-8.6%,0.1069,NO PLAY,False
SPREAD,2026-04-07,IND,MIN,IND,-110,+12.5,0.4107,0.5,-0.0893,-8.9%,0.1021,NO PLAY,False
SPREAD,2026-04-07,NOP,UTA,UTA,-110,+11.5,0.4007,0.5,-0.0993,-9.9%,0.0868,NO PLAY,False
SPREAD,2026-04-07,LAL,OKC,LAL,-110,+17.0,0.3943,0.5,-0.1057,-10.6%,0.077,NO PLAY,False
SPREAD,2026-04-07,GSW,SAC,SAC,-110,+14.0,0.356,0.5,-0.144,-14.4%,0.0187,NO PLAY,False
SPREAD,2026-04-07,BOS,CHA,CHA,-110,+4.5,0.3286,0.5,-0.1714,-17.1%,0.0,NO PLAY,False
SPREAD,2026-04-07,LAC,DAL,DAL,-110,+11.5,0.3184,0.5,-0.1816,-18.2%,0.0,NO PLAY,False
TOTAL,2026-04-07,LAL,OKC,OVER,-110,223.0,0.8537,0.5,0.3537,35.4%,0.7771,HIGH,True
TOTAL,2026-04-07,TOR,MIA,OVER,-110,239.5,0.84,0.5,0.34,34.0%,0.7562,HIGH,True
TOTAL,2026-04-07,BOS,CHA,OVER,-110,221.0,0.8103,0.5,0.3103,31.0%,0.7109,HIGH,False
TOTAL,2026-04-07,PHX,HOU,OVER,-110,221.0,0.8101,0.5,0.3101,31.0%,0.7106,HIGH,False
TOTAL,2026-04-07,BKN,MIL,UNDER,-110,220.5,0.6867,0.5,0.1867,18.7%,0.5226,HIGH,False
TOTAL,2026-04-07,WAS,CHI,OVER,-110,251.0,0.6576,0.5,0.1576,15.8%,0.4783,HIGH,False
TOTAL,2026-04-07,LAC,DAL,OVER,-110,238.0,0.5631,0.5,0.0631,6.3%,0.3343,LOW,False
TOTAL,2026-04-07,NOP,UTA,OVER,-110,242.5,0.5491,0.5,0.0491,4.9%,0.3129,NO PLAY,False
TOTAL,2026-04-07,GSW,SAC,UNDER,-110,235.0,0.5329,0.5,0.0329,3.3%,0.2881,NO PLAY,False
TOTAL,2026-04-07,IND,MIN,OVER,-110,232.5,0.532,0.5,0.032,3.2%,0.2869,NO PLAY,False
