bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-03-24,NYK,NOP,NOP,289,+289,0.3927,0.2571,0.1356,13.6%,0.1825,HIGH,True
MONEYLINE,2026-03-24,PHX,DEN,PHX,195,+195,0.4562,0.339,0.1172,11.7%,0.1773,HIGH,True
MONEYLINE,2026-03-24,CLE,ORL,ORL,355,+355,0.1957,0.2198,-0.024,-2.4%,0.0,NO PLAY,False
SPREAD,2026-03-24,PHX,DEN,PHX,-110,+6.0,0.5574,0.5,0.0574,5.7%,0.3256,MEDIUM,True
SPREAD,2026-03-24,CHA,SAC,SAC,-110,+17.5,0.4074,0.5,-0.0926,-9.3%,0.097,NO PLAY,False
SPREAD,2026-03-24,NYK,NOP,NOP,-110,+8.5,0.4001,0.5,-0.0999,-10.0%,0.0859,NO PLAY,False
SPREAD,2026-03-24,CLE,ORL,ORL,-110,+10.5,0.2026,0.5,-0.2974,-29.7%,0.0,NO PLAY,False
TOTAL,2026-03-24,CLE,ORL,OVER,-110,230.0,0.6606,0.5,0.1606,16.1%,0.4828,HIGH,True
TOTAL,2026-03-24,PHX,DEN,OVER,-110,232.5,0.6083,0.5,0.1083,10.8%,0.403,HIGH,True
TOTAL,2026-03-24,NYK,NOP,OVER,-110,229.5,0.6047,0.5,0.1047,10.5%,0.3976,HIGH,True
TOTAL,2026-03-24,CHA,SAC,UNDER,-110,231.0,0.5628,0.5,0.0628,6.3%,0.3338,HIGH,True
