bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-27,PHX,OKC,PHX,390,+390,0.594,0.2041,0.3899,39.0%,0.4899,HIGH,True
MONEYLINE,2026-04-27,DEN,MIN,MIN,400,+400,0.4662,0.2,0.2662,26.6%,0.3327,HIGH,True
MONEYLINE,2026-04-27,ORL,DET,ORL,132,+132,0.2878,0.431,-0.1433,-14.3%,0.0,NO PLAY,False
SPREAD,2026-04-27,PHX,OKC,PHX,-110,+10.5,0.5544,0.5,0.0544,5.4%,0.321,NO PLAY,False
SPREAD,2026-04-27,DEN,MIN,MIN,-110,+11.5,0.3965,0.5,-0.1035,-10.4%,0.0803,NO PLAY,False
SPREAD,2026-04-27,ORL,DET,ORL,-110,+3.5,0.2866,0.5,-0.2134,-21.3%,0.0,NO PLAY,False
TOTAL,2026-04-27,DEN,MIN,OVER,-110,222.0,0.6208,0.5,0.1208,12.1%,0.4221,HIGH,True
TOTAL,2026-04-27,PHX,OKC,UNDER,-110,214.5,0.5722,0.5,0.0722,7.2%,0.3481,LOW,True
TOTAL,2026-04-27,ORL,DET,OVER,-110,215.0,0.5341,0.5,0.0341,3.4%,0.29,NO PLAY,False
