bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-03-29,IND,MIA,IND,295,+295,0.535,0.2532,0.2818,28.2%,0.3773,HIGH,True
MONEYLINE,2026-03-29,OKC,NYK,NYK,280,+280,0.3801,0.2632,0.117,11.7%,0.1588,HIGH,True
MONEYLINE,2026-03-29,NOP,HOU,NOP,190,+190,0.4535,0.3448,0.1087,10.9%,0.1659,HIGH,True
MONEYLINE,2026-03-29,DEN,GSW,GSW,471,+471,0.1532,0.1751,-0.022,-2.2%,0.0,NO PLAY,False
SPREAD,2026-03-29,MIL,LAC,MIL,-110,+15.0,0.5178,0.5,0.0178,1.8%,0.2652,NO PLAY,False
SPREAD,2026-03-29,IND,MIA,IND,-110,+8.5,0.501,0.5,0.001,0.1%,0.2396,NO PLAY,False
SPREAD,2026-03-29,CHA,BOS,BOS,-110,+1.0,0.4985,0.5,-0.0015,-0.1%,0.2359,NO PLAY,False
SPREAD,2026-03-29,BKN,SAC,BKN,-110,+1.0,0.4755,0.5,-0.0245,-2.4%,0.2008,NO PLAY,False
SPREAD,2026-03-29,NOP,HOU,NOP,-110,+6.0,0.4193,0.5,-0.0807,-8.1%,0.1152,NO PLAY,False
SPREAD,2026-03-29,TOR,ORL,ORL,-110,+2.5,0.406,0.5,-0.094,-9.4%,0.0948,NO PLAY,False
SPREAD,2026-03-29,OKC,NYK,NYK,-110,+8.5,0.3909,0.5,-0.1091,-10.9%,0.0719,NO PLAY,False
SPREAD,2026-03-29,POR,WAS,WAS,-110,+16.5,0.3517,0.5,-0.1483,-14.8%,0.012,NO PLAY,False
SPREAD,2026-03-29,DEN,GSW,GSW,-110,+12.5,0.1908,0.5,-0.3092,-30.9%,0.0,NO PLAY,False
TOTAL,2026-03-29,DEN,GSW,OVER,-110,239.0,0.8133,0.5,0.3133,31.3%,0.7155,HIGH,True
TOTAL,2026-03-29,BKN,SAC,UNDER,-110,221.5,0.731,0.5,0.231,23.1%,0.5901,HIGH,True
TOTAL,2026-03-29,TOR,ORL,OVER,-110,225.5,0.7295,0.5,0.2295,22.9%,0.5878,HIGH,True
TOTAL,2026-03-29,MIL,LAC,OVER,-110,221.5,0.672,0.5,0.172,17.2%,0.5002,HIGH,True
TOTAL,2026-03-29,IND,MIA,OVER,-110,244.5,0.65,0.5,0.15,15.0%,0.4666,HIGH,True
TOTAL,2026-03-29,CHA,BOS,OVER,-110,216.0,0.5394,0.5,0.0394,3.9%,0.2982,LOW,True
TOTAL,2026-03-29,OKC,NYK,OVER,-110,224.0,0.5286,0.5,0.0286,2.9%,0.2817,LOW,True
TOTAL,2026-03-29,POR,WAS,UNDER,-110,238.0,0.5285,0.5,0.0285,2.8%,0.2815,LOW,True
TOTAL,2026-03-29,NOP,HOU,OVER,-110,225.5,0.5127,0.5,0.0127,1.3%,0.2574,NO PLAY,False
