bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-19,DET,ORL,ORL,310,+310,0.4279,0.2439,0.1839,18.4%,0.2433,HIGH,True
MONEYLINE,2026-04-19,SAS,POR,POR,430,+430,0.2671,0.1887,0.0784,7.8%,0.0966,NO PLAY,False
SPREAD,2026-04-19,DET,ORL,ORL,-110,+9.0,0.3947,0.5,-0.1053,-10.5%,0.0777,NO PLAY,False
SPREAD,2026-04-19,BOS,PHI,PHI,-110,+12.5,0.3235,0.5,-0.1765,-17.7%,0.0,NO PLAY,False
SPREAD,2026-04-19,SAS,POR,POR,-110,+11.0,0.2587,0.5,-0.2413,-24.1%,0.0,NO PLAY,False
SPREAD,2026-04-19,OKC,PHX,PHX,-110,+15.0,0.2073,0.5,-0.2927,-29.3%,0.0,NO PLAY,False
TOTAL,2026-04-19,DET,ORL,OVER,-110,219.5,0.7646,0.5,0.2646,26.5%,0.6413,HIGH,True
TOTAL,2026-04-19,SAS,POR,OVER,-110,221.5,0.7189,0.5,0.2189,21.9%,0.5716,HIGH,True
TOTAL,2026-04-19,OKC,PHX,OVER,-110,215.5,0.6649,0.5,0.1649,16.5%,0.4894,HIGH,False
TOTAL,2026-04-19,BOS,PHI,OVER,-110,214.5,0.6152,0.5,0.1152,11.5%,0.4136,HIGH,False
