bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-05,CHI,PHX,CHI,367,+367,0.535,0.2141,0.3209,32.1%,0.4083,HIGH,True
MONEYLINE,2026-04-05,GSW,HOU,GSW,136,+136,0.5217,0.4237,0.098,9.8%,0.17,LOW,True
MONEYLINE,2026-04-05,NOP,ORL,NOP,163,+163,0.4544,0.3802,0.0742,7.4%,0.1197,NO PLAY,False
MONEYLINE,2026-04-05,BOS,TOR,TOR,350,+350,0.2749,0.2222,0.0527,5.3%,0.0677,NO PLAY,False
MONEYLINE,2026-04-05,MIL,MEM,MEM,200,+200,0.3529,0.3333,0.0196,2.0%,0.0294,NO PLAY,False
MONEYLINE,2026-04-05,BKN,WAS,WAS,140,+140,0.434,0.4167,0.0174,1.7%,0.0298,NO PLAY,False
SPREAD,2026-04-05,DAL,LAL,DAL,-110,+1.5,0.6876,0.5,0.1876,18.8%,0.5239,HIGH,True
SPREAD,2026-04-05,CHI,PHX,CHI,-110,+10.0,0.5719,0.5,0.0719,7.2%,0.3477,LOW,True
SPREAD,2026-04-05,GSW,HOU,GSW,-110,+3.5,0.5236,0.5,0.0236,2.4%,0.274,NO PLAY,False
SPREAD,2026-04-05,SAC,LAC,SAC,-110,+12.5,0.5049,0.5,0.0049,0.5%,0.2456,NO PLAY,False
SPREAD,2026-04-05,NOP,ORL,NOP,-110,+4.5,0.4783,0.5,-0.0217,-2.2%,0.205,NO PLAY,False
SPREAD,2026-04-05,MIN,CHA,MIN,-110,+2.0,0.3913,0.5,-0.1087,-10.9%,0.0724,NO PLAY,False
SPREAD,2026-04-05,BKN,WAS,WAS,-110,+3.5,0.3722,0.5,-0.1278,-12.8%,0.0433,NO PLAY,False
SPREAD,2026-04-05,MIL,MEM,MEM,-110,+6.0,0.3344,0.5,-0.1656,-16.6%,0.0,NO PLAY,False
SPREAD,2026-04-05,BOS,TOR,TOR,-110,+9.5,0.283,0.5,-0.217,-21.7%,0.0,NO PLAY,False
SPREAD,2026-04-05,CLE,IND,IND,-110,+15.5,0.2459,0.5,-0.2541,-25.4%,0.0,NO PLAY,False
SPREAD,2026-04-05,OKC,UTA,UTA,-110,+24.0,0.1659,0.5,-0.3341,-33.4%,0.0,NO PLAY,False
TOTAL,2026-04-05,BOS,TOR,OVER,-110,220.0,0.809,0.5,0.309,30.9%,0.7089,HIGH,True
TOTAL,2026-04-05,CLE,IND,OVER,-110,238.5,0.7608,0.5,0.2608,26.1%,0.6355,HIGH,True
TOTAL,2026-04-05,CHI,PHX,OVER,-110,240.0,0.7607,0.5,0.2607,26.1%,0.6354,HIGH,False
TOTAL,2026-04-05,GSW,HOU,OVER,-110,226.5,0.7297,0.5,0.2297,23.0%,0.5881,HIGH,False
TOTAL,2026-04-05,BKN,WAS,UNDER,-110,230.5,0.6587,0.5,0.1587,15.9%,0.48,HIGH,False
TOTAL,2026-04-05,MIN,CHA,OVER,-110,227.5,0.644,0.5,0.144,14.4%,0.4574,HIGH,False
TOTAL,2026-04-05,OKC,UTA,OVER,-110,239.0,0.6363,0.5,0.1363,13.6%,0.4458,HIGH,False
TOTAL,2026-04-05,DAL,LAL,OVER,-110,233.0,0.6203,0.5,0.1203,12.0%,0.4215,HIGH,False
TOTAL,2026-04-05,MIL,MEM,UNDER,-110,227.5,0.5494,0.5,0.0494,4.9%,0.3133,NO PLAY,False
TOTAL,2026-04-05,SAC,LAC,OVER,-110,228.5,0.5331,0.5,0.0331,3.3%,0.2886,NO PLAY,False
TOTAL,2026-04-05,NOP,ORL,OVER,-110,236.5,0.5151,0.5,0.0151,1.5%,0.2612,NO PLAY,False
